City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.04,85,2,24.09,clear sky
264,Requena,ES,39.4883,-1.1004,43.72,84,100,2.86,overcast clouds
265,Zelenoborsk,RU,61.4669,64.0333,8.46,96,69,6.96,broken clouds
266,Korbach,DE,51.2756,8.873,39.42,86,100,18.34,moderate rain
267,Kavieng,PG,-2.5744,150.7967,83.89,72,100,7.2,overcast clouds
268,Puerto Escondido,MX,15.85,-97.0667,79.63,73,20,3.44,few clouds
269,Whitehorse,CA,60.7161,-135.0538,27.01,92,100,13.0,light snow
270,Buala,SB,-8.145,159.5921,85.78,74,98,9.48,light rain
271,Minudasht,IR,37.2289,55.3747,43.12,95,100,5.88,overcast clouds
272,Inuvik,CA,68.3499,-133.7218,-24.59,68,75,2.3,light snow
273,Grand Baie,MU,-20.0182,57.5802,79.45,77,100,8.01,overcast clouds
274,Acapulco,MX,16.8634,-99.8901,80.42,78,0,8.05,clear sky
275,Ofaqim,IL,31.3141,34.6203,49.71,78,42,7.7,scattered clouds
276,Camabatela,AO,-8.1881,15.375,60.37,99,91,2.17,overcast clouds
277,Leh,IN,34.1667,77.5833,0.86,78,100,2.08,overcast clouds
278,Taree,AU,-31.9,152.4667,76.06,60,75,19.57,broken clouds
279,Benxi,CN,41.2886,123.765,16.12,63,5,3.85,clear sky
280,Ilulissat,GL,69.2167,-51.1,3.22,51,100,16.11,overcast clouds
281,Taloda,IN,21.5667,74.2167,63.63,26,5,5.79,clear sky
282,Wanning,CN,18.8003,110.3967,69.58,77,93,10.16,overcast clouds
283,Monselice,IT,45.2424,11.749,42.64,90,0,2.28,clear sky
284,Kirakira,SB,-10.4544,161.9205,85.26,74,100,8.55,overcast clouds
285,Rayon,MX,19.1444,-99.5836,59.9,64,67,1.86,broken clouds
286,Erzin,TR,36.9559,36.2,37.92,79,5,3.74,clear sky
287,Paamiut,GL,61.994,-49.6678,-2.4,84,100,9.35,overcast clouds
288,Zhireken,RU,52.8249,117.3076,-2.65,84,58,1.92,broken clouds
289,Valparaiso,CL,-33.0393,-71.6273,68.47,72,0,9.22,clear sky
290,San Miguelito,PA,9.0333,-79.5,80.04,72,0,10.36,clear sky
291,Parit Buntar,MY,5.1267,100.4932,80.94,75,82,3.11,broken clouds
292,Ahuimanu,US,21.4447,-157.8378,83.91,68,20,3.0,few clouds
293,Oranjestad,AW,12.524,-70.027,78.75,69,20,11.5,few clouds
294,Nihtaur,IN,29.3333,78.3833,47.79,83,72,3.74,broken clouds
295,Buguruslan,RU,53.6554,52.442,20.79,97,100,2.95,light snow
296,Henties Bay,NA,-22.116,14.2845,67.86,80,97,0.81,overcast clouds
297,Adrar,MR,20.5022,-10.0711,63.72,7,0,9.08,clear sky
298,Jabinyanah,TN,35.035,10.9081,51.6,73,68,7.96,broken clouds
299,Manoel Urbano,BR,-8.8389,-69.2597,72.63,99,100,2.21,overcast clouds
300,Portobelo,PA,9.55,-79.65,79.21,82,26,11.39,scattered clouds
301,Palmer,US,42.1584,-72.3287,18.21,57,0,10.36,clear sky
302,Sinnamary,GF,5.3833,-52.95,76.5,90,100,8.97,overcast clouds
303,Barcelos,PT,41.5388,-8.6151,50.14,78,0,5.44,clear sky
304,Arys,KZ,42.4252,68.795,46.62,62,100,21.61,light rain
305,Kudahuvadhoo,MV,2.6708,72.8944,81.07,70,6,10.09,clear sky
306,Hithadhoo,MV,-0.6,73.0833,81.64,73,2,6.71,clear sky
307,Boguchany,RU,58.3814,97.4531,11.52,97,99,5.46,overcast clouds
308,Manggar,ID,-2.8833,108.2667,81.37,81,100,9.98,overcast clouds
309,Taltal,CL,-25.4,-70.4833,68.52,73,22,4.34,few clouds
310,Zdvinsk,RU,54.7021,78.661,4.69,87,100,7.18,overcast clouds
311,Saint-Joseph,RE,-21.3667,55.6167,77.38,80,99,13.94,light rain
312,Amli,IN,20.2833,73.0167,62.28,44,10,2.42,clear sky
313,Pevek,RU,69.7008,170.3133,-26.55,99,30,1.66,scattered clouds
314,Sioux Lookout,CA,50.1001,-91.917,8.98,85,100,3.44,overcast clouds
315,Ulaangom,MN,49.9811,92.0667,-23.78,93,97,2.77,overcast clouds
316,Beringovskiy,RU,63.05,179.3167,-8.72,93,80,13.73,broken clouds
317,Guangyuan,CN,32.442,105.823,37.98,83,100,4.68,overcast clouds
318,Avera,US,33.194,-82.5271,42.31,52,0,7.54,clear sky
319,Karasburg,NA,-28.0167,18.75,80.6,32,47,15.01,scattered clouds
320,Devils Lake,US,48.1128,-98.8651,12.18,81,100,1.99,overcast clouds
321,Kishni,IN,27.0247,79.2634,48.79,83,0,3.38,clear sky
322,Eureka,US,40.8021,-124.1637,54.21,79,2,3.4,clear sky
323,Ponta Do Sol,PT,32.6667,-17.1,68.13,47,50,12.95,scattered clouds
324,Rocha,UY,-34.4833,-54.3333,63.39,88,66,7.65,broken clouds
325,Qui Nhon,VN,13.7667,109.2333,73.26,87,100,17.2,overcast clouds
326,Zhaoqing,CN,23.0512,112.4597,55.67,65,100,4.36,light rain
327,Tezu,IN,27.9167,96.1667,55.9,88,92,0.47,overcast clouds
328,Dillon,US,34.4166,-79.3712,39.18,42,0,8.23,clear sky
329,Shelburne,CA,44.0787,-80.2041,12.09,69,84,8.12,broken clouds
330,Pochinki,RU,54.6988,44.8668,-4.56,100,100,3.83,overcast clouds
331,Oriximina,BR,-1.7656,-55.8661,73.96,94,97,2.62,overcast clouds
332,Kloulklubed,PW,7.0419,134.2556,81.88,78,58,21.97,broken clouds
333,Wucheng,CN,29.6008,118.175,41.4,56,100,4.63,overcast clouds
334,Zhezkazgan,KZ,47.8043,67.7144,6.78,78,100,20.13,overcast clouds
335,Livingston,GB,55.9029,-3.5226,39.85,87,75,10.36,moderate rain
336,Tagusao,PH,9.1924,117.8141,81.97,71,69,6.24,broken clouds
337,Alugan,PH,12.2188,125.4808,81.43,72,100,18.92,overcast clouds
338,Burnie,AU,-41.0667,145.9167,66.94,65,32,10.98,scattered clouds
339,Along,IN,28.1667,94.7667,48.81,91,35,1.72,scattered clouds
340,Nanortalik,GL,60.1432,-45.2371,9.14,61,100,13.76,overcast clouds
341,Terney,RU,45.0503,136.6092,11.37,59,15,12.48,few clouds
342,Nome,US,64.5011,-165.4064,-0.33,65,0,5.75,clear sky
343,Brae,GB,60.3964,-1.353,39.11,55,97,34.87,overcast clouds
