City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,kualakapuas,ID,2022-02-05 02:32:23,-3.0091,114.3876,84.36,60,99,2.39
270,stornoway,GB,2022-02-05 02:32:23,58.2093,-6.3865,37.36,88,20,7.0
271,tura,IN,2022-02-05 02:30:34,25.5198,90.2201,57.74,85,31,2.26
272,havre-saint-pierre,CA,2022-02-05 02:32:23,50.2334,-63.5986,5.59,65,100,11.5
273,dolores,AR,2022-02-05 02:32:24,-36.3132,-57.6792,63.14,96,100,3.36
274,sijunjung,ID,2022-02-05 02:32:24,-0.6876,100.9537,74.39,94,100,1.07
275,sayyan,YE,2022-02-05 02:32:24,15.1718,44.3244,51.26,82,68,3.27
276,harper,LR,2022-02-05 02:33:25,4.375,-7.7169,78.6,83,80,5.48
277,port hedland,AU,2022-02-05 02:33:26,-20.3167,118.5667,93.25,59,75,18.41
278,tamandare,BR,2022-02-05 02:33:26,-8.7597,-35.1047,78.04,76,6,6.49
279,atar,MR,2022-02-05 02:33:26,20.5169,-13.0499,68.79,12,20,6.02
280,roald,NO,2022-02-05 02:33:27,62.5833,6.1333,39.0,75,40,34.52
281,gondar,ET,2022-02-05 02:33:27,12.6,37.4667,55.96,64,23,3.94
282,masaya,NI,2022-02-05 02:33:28,11.9744,-86.0942,80.26,59,6,12.06
283,storsteinnes,NO,2022-02-05 02:33:28,69.2408,19.2344,23.0,86,92,7.78
284,kapit,MY,2022-02-05 02:33:29,2.0167,112.9333,85.35,66,100,1.95
285,tsumeb,NA,2022-02-05 02:33:29,-19.2333,17.7167,67.55,81,100,2.37
286,sinnamary,GF,2022-02-05 02:33:30,5.3833,-52.95,75.7,90,95,8.39
287,acajutla,SV,2022-02-05 02:33:30,13.5928,-89.8275,78.8,77,41,8.88
288,kushiro,JP,2022-02-05 02:33:31,42.975,144.3747,25.75,63,20,5.75
289,sept-iles,CA,2022-02-05 02:33:31,50.2001,-66.3821,-0.94,64,100,5.01
290,roma,US,2022-02-05 02:33:31,43.2128,-75.4557,15.39,88,100,4.61
291,sibu,MY,2022-02-05 02:33:32,2.3,111.8167,84.51,79,40,5.01
292,pokhara,NP,2022-02-05 02:33:32,28.2333,83.9833,47.3,83,96,3.29
293,tarauaca,BR,2022-02-05 02:33:33,-8.1614,-70.7656,71.98,99,99,2.59
294,carman,CA,2022-02-05 02:33:33,49.4992,-98.0016,-4.88,71,99,9.22
295,lebu,CL,2022-02-05 02:30:37,-37.6167,-73.65,57.76,85,78,17.02
296,guerrero negro,MX,2022-02-05 02:30:52,27.9769,-114.0611,60.53,35,0,1.88
297,ozernovskiy,RU,2022-02-05 02:33:34,51.5,156.5167,30.13,77,93,3.4
298,farafangana,MG,2022-02-05 02:33:34,-22.8167,47.8333,77.5,91,100,19.3
299,biltine,TD,2022-02-05 02:33:34,14.5333,20.9167,60.42,23,5,18.41
300,yaviza,PA,2022-02-05 02:33:35,8.1537,-77.6931,72.75,96,17,1.05
